ds,alpha,ncells,ngenes,ngenes_filt,sbar,raw,PF,sqrt,log1p,log1pCP10k,log1pCPM,scalelog1pCP10k,log1pPF,PFlogPF
ERS4228639,1.32000,5695,23709,7614,3821.688,18.35484,18.35484,1.80522,1.02320,0.43384,0.53410,0.34483,1.02320,0.17666
ERS4228662,4.09000,10774,10152,160,83.804,8.77708,8.77708,1.88495,1.83552,0.31131,0.38229,0.67472,1.83552,0.04821
ERS4228663,5.27000,3140,7813,286,123.068,5.90766,5.90766,1.10912,1.69853,0.25418,0.35696,0.59822,1.69853,0.05393
ERS4228664,1.27000,14824,13115,369,132.452,8.79676,8.79676,0.50136,1.02792,0.34093,0.42457,0.62587,1.02792,0.21239
ERS4228665,6.58707,1183,4695,361,178.089,9.17496,9.17496,2.13795,1.92596,0.20134,0.35166,0.58981,1.92596,0.07070
ERS4228668,8.06000,6117,9831,265,120.136,4.64956,4.64956,1.19722,1.77059,0.21356,0.32525,0.62174,1.77059,0.07233
ERS4228669,6.63000,6414,9714,244,110.041,4.73917,4.73917,1.05318,1.65928,0.25126,0.35068,0.62167,1.65928,0.06567
ERS4228670,4.70000,4856,9513,303,132.929,6.21379,6.21379,1.14295,1.66739,0.26938,0.37957,0.63473,1.66739,0.05177
ERS4228671,3.97000,1987,8040,607,216.247,7.98721,7.98721,1.22155,1.69788,0.22121,0.37400,0.56525,1.69788,0.05010
ERS4228672,3.56000,5029,9772,339,137.221,6.43093,6.43093,0.96072,1.56492,0.28871,0.39429,0.60450,1.56492,0.05372
ERS4228673,6.19000,5134,9042,244,118.021,5.49151,5.49151,1.27655,1.71562,0.26039,0.37106,0.64416,1.71562,0.06457
ERX2756708,3.60000,1289,15547,3696,1550.070,30.48755,30.48755,3.25127,1.70521,0.28173,0.40285,0.42368,1.70521,0.05848
ERX2756710,4.63000,2055,18339,4418,1898.117,29.54121,29.54121,3.63848,1.86203,0.43099,0.37030,0.36822,1.86203,0.05617
ERX2756711,0.31000,700,11124,4089,2142.581,21.35447,21.35447,0.61062,0.66676,0.19705,0.59603,0.41777,0.66676,0.56507
ERX2756712,10.54000,70373,23421,659,276.874,12.39486,12.39486,2.48183,1.82766,0.05049,0.29021,0.61404,1.82766,0.07864
ERX2756713,4.58000,7362,24759,5667,2515.738,52.48571,52.48571,3.97349,1.71012,0.56935,0.38498,0.36313,1.71012,0.06002
ERX2756714,1.70000,12365,27623,6920,4583.347,45.85271,45.85271,3.21273,1.15827,0.60203,0.53280,0.30354,1.15827,0.13234
ERX2756718,13.22000,5224,15483,1048,478.412,22.14283,22.14283,3.08625,2.07467,0.12955,0.24879,0.52252,2.07467,0.07859
ERX2756720,13.91000,60000,17885,191,82.029,8.62080,8.62080,1.53173,1.60936,0.16186,0.24800,0.78421,1.60936,0.07508
