gene	logCP10K_Seq-Well_PC1_loading	logCP10K_10x_v3_PC1_loading	logPF, estimated K_Seq-Well_PC1_loading	logPF, estimated K_10x_v3_PC1_loading	PFlog_Seq-Well_PC1_loading	PFlog_10x_v3_PC1_loading
EIF3D	0.013871537167770408	0.0058978644797452705	0.014254610402151615	0.01667721074728979	-0.004839067399160997	-0.0004067906088847195
EIF3E	0.023064588593834603	0.017550328646186525	0.023179368259663134	0.023857950343908713	-0.005433967752745361	0.008071681187625574
EIF3F	0.011767333651127403	0.01007635013776453	0.011973675769923458	0.020292873590142767	-0.0037716211614022836	0.0033581125671884337
EIF3G	0.003823064497201947	0.011924076846763809	0.004021880095132385	0.01420016391086555	0.0018405460794670171	0.009585275314415225
EIF3H	0.027603335429949503	0.0171776724388514	0.027844597278912465	0.02268010757790093	-0.007135464831927739	0.008765416718177233
EIF3I	0.007500893603276836	0.005402906180928363	0.007668528665904662	0.019160303084650443	0.0016667862313191897	-0.002892684164003975
EIF3J	0.0069010720359582636	0.008266602049612364	0.007402454137667918	0.018283186859809012	0.002729871367818848	0.0031515229609312143
EIF3K	0.006802727458571951	0.02848883702421702	0.006992713319151454	0.020642531572444073	0.007213703733095411	0.01945970093675395
EIF3L	0.002893264171620982	0.0105352672775394	0.0028754966764940083	0.024226096239266276	0.0026400370936266204	-0.0018073084299056515
EIF3M	0.01649965098890286	0.01242329595425972	0.01640585584339285	0.019972925902125484	-0.0027998081139697924	0.005643182055684497
EIF4A1	0.00011483479962703675	0.014058826245864763	0.0002794618492457439	0.02027325333832553	0.0015544312664942108	0.009069942767722045
EIF4A2	0.02810900423251176	0.0008742848837401318	0.0286033894650833	0.017856395533235796	-0.010655294003206242	-0.0059002334489229044
EIF4A3	0.011065417996893022	0.013477625947373825	0.011296806634738293	0.01856041132983061	0.005723631441425316	0.009134773320472002
EIF4B	0.013989105061743074	0.009566319201658393	0.014480865690374926	0.024234510144364604	-0.0008986523498787997	-0.00198061732404188
EIF4E	0.0071879396473874015	0.010517558201157552	0.007246319129233785	0.016559556662434673	-0.0008442839349158992	0.006944243310872918
EIF4E2	0.0060876977838345385	0.008020254241751956	0.005996215819400849	0.015511369105763662	-0.0028566864574482665	0.0070757184625032075
EIF4EBP1	0.002676970620850456	0.01702198402774863	0.0026595549491953865	0.01987740851276935	0.0033465311385635138	0.016695568521197576
EIF4EBP2	0.0032688615020522427	0.0036965141807264778	0.003323129387587877	0.013455305541332646	0.000821302035587119	-0.00021984187162776402
EIF4G1	0.012412274460300392	-0.001071845570986073	0.012560681198347181	0.017927294457423172	-0.007140248112772885	-0.010538694546523624
EIF4G2	0.045814139708238284	0.015176279934566342	0.0458262603747012	0.028279010715140242	-0.007895791093436869	-0.00012718391002043748
EIF4H	0.007896546868502989	0.006337952182312167	0.00795965497867899	0.018279252967866123	0.0050702653289317265	0.0004464343911207429
EIF5	0.014165756504231328	0.010029631262869798	0.015165769802298161	0.021962225332621203	-0.005539203023559292	0.00021103090794861778
EIF5A	-0.0001565921783613822	0.0037942421706947914	6.9756901565644e-05	0.013927130029496925	0.0014863309895564263	-0.0017524697055261668
EIF5B	0.03158407489590725	0.0015167176106372943	0.03207352253746226	0.01911785323726493	-0.0033117749909935363	-0.007142015081048556
EIF6	0.0068479305247290305	0.009440751309683564	0.006905081299021084	0.01828861545800077	0.0010069669250838689	0.00631205510995523
ELAPOR1	0.0022353424337969415	-0.012200120250310247	0.002274965107171638	0.00686430900837699	-0.006759823643464352	-0.023566544218988638
ELF1	0.006533706285891729	0.020406900212659784	0.007321580185768913	0.015517712697400104	0.015684740717750556	0.019293919060890695
ELF2	0.0025754529154425124	0.001866791639789496	0.003104141897190156	0.01284386691236977	0.0026245285321586783	-0.0033023362010613407
ELF3	0.029772949807993745	-0.056365874198029034	0.029562964534680776	0.01647710592846148	-0.07267238509055635	-0.07510025013469925
ELL2	0.01572776340221599	0.011277038695641348	0.016037477873486774	0.017107577396932513	-0.002820203615379644	0.0031122954599358127
ELOB	0.02198627039394926	0.03150898648072235	0.022232270479344847	0.03139508051689021	0.0031187854552596236	0.00918364065220225
ELOC	0.0066218782586526664	0.010488343690233522	0.006891660058873945	0.02104279244748982	-0.008051143770916681	0.003106035775112357
ELOVL5	0.006915999034558729	-0.001380547510949501	0.00715724857101883	0.010581725591656587	-0.006738958135542791	-0.008129455403640259
EMB	0.011825661965302199	0.0040236437960127925	0.012356245108011588	-0.005038631513105585	0.006853298199692401	0.012371135912700714
EMC10	0.015284217877903822	0.0034650067177844	0.015337260386556091	0.018192986053699216	0.00013608881633760703	-0.004457021772076629
EMC3	0.006115392459344782	0.008633015779972362	0.0062350200714736265	0.020500664538963983	-0.0015479910940878446	0.002360553640818309
EMC4	0.010629269694839925	0.002007124089817507	0.010771412502992654	0.016394051911169376	0.002618260175384251	-0.007228765671617184
EMC7	0.0032139938812376172	0.009326612929219557	0.003309278953711454	0.02096903951456942	0.003340393435299981	0.0045014596642465226
EMILIN2	0.011645110745508003	0.021411896014151263	0.01148403117911539	0.013858151328892038	0.016745855495002404	0.0271747131994869
EML4	0.025925622214005906	0.013999691832405469	0.026400995312131796	0.019706623221215983	0.019558198577506312	0.008371851602285034
EMP1	0.014611829654429025	-0.001687182525448343	0.014359769541408614	0.009417799024353328	-0.010086840289916585	-0.010008577460590438
EMP2	0.011685145157082548	-0.029861644977693228	0.011807363819465448	0.015114387076704658	-0.012943516517360332	-0.05359235919708283
EMP3	0.005576418228652484	0.04953438997850845	0.005663020120530608	0.00955574526128625	0.011880249062085036	0.057699388608339286
ENKUR	-0.0011990466622774035	-0.00855383621097672	-0.0006639912642415003	0.00768382643931658	-0.013511291830205573	-0.021134136220971014
ENO1	0.0518674392257077	0.014298345252399803	0.05165067649873621	0.029027068274768343	-0.007133928464819515	-0.001767774303239987
ENOSF1	0.005370548077912678	-0.007078953918624975	0.00551884877147724	0.011112535379117681	0.002453234444817724	-0.016865850364772526
ENPP4	0.0062880493838549725	0.007650739599116257	0.0065238716265482435	0.018603666316053646	-0.0008212015036425273	0.002265145667117033
ENSA	0.022040322122139952	0.0020387893542190135	0.022073586312279347	0.0193177818954064	-0.00015717250331590666	-0.00655737278356113
ENSG00000257764.2	0.009177312844882842	0.013357070595428778	0.009149797765068012	0.010040096466658658	0.01773585945474299	0.01564687776061498
ENY2	0.021795531473839395	0.020348512745778386	0.021754279759299902	0.02199197871018378	-0.001866209036741586	0.013669296839783416
EP300	0.004324703168248216	0.007212323594954297	0.004487807541685282	0.017326280049642272	0.0005319143365870017	0.0015208776955412818
EPAS1	0.021358183054976637	-0.006603713275440015	0.021426501881334145	0.019554179671203913	-0.007623643032911009	-0.0189158063432131
EPC1	0.007559684332411367	0.0034506432189843773	0.008089181558162179	0.012529739304667987	-0.015501394122242636	0.0006085860706491003
EPCAM	0.041521833939617926	-0.028025175639420242	0.041323746360981184	0.015413310308399951	-0.051307865516232114	-0.05390558231464329
EPHX1	0.0054154577818333795	-0.02378048912721771	0.0056141985663674746	0.019052500468813467	-0.009953270140884436	-0.0442900627843516
EPRS1	0.01435871104888066	0.004729950761856289	0.014670732475156928	0.018135659566892618	-0.00802016716745137	-0.00183042280566086
EPS15	0.0056225672011604375	0.004816586578416546	0.005792888010314457	0.01197807467108194	-0.0013760673740116976	0.0017161297590542026
EPS8	0.02665098307794295	-0.014086670643200157	0.026893280445004705	0.011221140684658043	-0.02984246348489555	-0.031001143293649294
ERBB3	0.006817157015209319	-0.016660910331005533	0.006897222140924985	0.006288481597749303	-0.007942630725969766	-0.03344164717313717
ERBIN	0.02188862939908081	-0.0009334339988452088	0.022167884075062833	0.009637413612648391	-0.003100210263051109	-0.005216560827990142
ERCC1	0.027931750442794667	0.005053462156452792	0.02806249867389638	0.014559484240900951	-0.013559473779712282	0.0014728735861370768
EREG	0.007662590226333991	0.02346392612292595	0.00720928030346918	0.004449003615529424	0.031641624633074975	0.019579049740133185
ERG28	0.005119395747884963	-0.012433805970605604	0.005298119619736707	0.011417339906817855	-0.009296241800441911	-0.02745565428776008
ERGIC1	0.009667280523173463	0.006850480049277094	0.009774662270023432	0.018259263040441318	0.00014456856793632351	-0.0011699236862148326
ERGIC2	0.009857865272071177	0.0014809517429698207	0.00973339272354224	0.013783910281072542	0.004287252589924619	-0.002319153560584798
ERGIC3	0.010925180877511983	-0.003151212482599454	0.011081079595682834	0.022077636412020287	-0.010162766124918177	-0.017621627648300057
ERH	0.016191090234320655	0.003591677048713505	0.016446894320070522	0.024466788650370393	-0.010045994081782071	-0.010333386081141299
ERICH1	0.007905569137057785	0.007223309355750164	0.007986960069684293	0.007794435707638272	0.0024400294916765183	0.010713027377010222
ERICH3	-0.0058353979457986625	-0.0167678884967135	-0.005142885860354209	0.004700822259462731	-0.013654510050581941	-0.026921485569906187
ERLEC1	0.02600674977647167	-0.004923304717745547	0.026043508007852118	0.018666695145052502	-0.019543817756819654	-0.01742276466592427
ERO1A	0.008329116324697069	0.006529786589926934	0.008457964229849771	0.014417464269662323	-0.0022533788284426655	0.003985147408014671
ERP29	0.011625658701394148	0.012487006165935066	0.01165471471204374	0.026416807428126295	0.004354211017819795	-0.001249659237886428
ERP44	0.005821455124788718	0.010979001432621241	0.005904001153280402	0.020827528853871378	0.006022110736395251	0.005482519935743551
ERRFI1	0.021552884492018885	-0.015477301480281352	0.021520685652084825	0.013661639861390755	-0.04509360801814443	-0.0313547577427179
ESD	0.008398639682040736	0.009323170537867189	0.008374520202603594	0.025048315327093867	-0.000830567782350303	-0.0021838878879899145
ETF1	0.017783466040598914	0.010669735299372457	0.018089555863584024	0.021039964399245444	0.015284175633241644	0.001290688497861431
ETFA	0.006911849361728949	0.006848974809613349	0.006859607237347604	0.014413342442338582	0.004304575321771599	0.005646142779878297
ETFB	0.0026645749691708853	-0.0016498999540564612	0.002753743711029273	0.018342185170677212	0.0007801253463074853	-0.011867867428265799
ETNK1	0.005749977239767102	-0.00033794867510942715	0.005957890902522748	0.015148145227020125	0.002064650252617166	-0.007590890015931765
ETS1	-0.008819341799344611	-0.007369798398520775	-0.007690314996469955	-0.015809137179813377	-0.0011880453870177024	0.004125330472692064
ETS2	0.01554394294308962	0.009963161223213796	0.015539563155388816	0.021363168886885317	-0.0028523248347499005	-0.003126170713187489
ETV6	0.012484678382215977	0.005904926725261146	0.012495499790929076	0.013222380898057495	-0.004865534228162289	0.003101332827269273
EVI2A	0.0009827226391482158	0.01779498028369705	0.0010380735084646732	0.005632303369528092	0.015897659828003934	0.02699504790638093
EVI2B	0.010936769239613228	0.04535280991530473	0.010991412439997773	0.01419595611906752	0.027031972152122156	0.05228621292564178
EVI5	0.002336804897675133	0.004563223580640457	0.0025567474966866504	0.016692185113826412	-0.0004659241413350189	-0.0016760560950215627
EVL	-0.001189191448996746	0.007101011021659323	-0.0005522118892655496	0.007742245560896565	0.009846905654361502	0.008175227394482277
EWSR1	0.00457748181100061	0.0006617283181634035	0.00451053415192886	0.013347242985534854	-0.0006527659964630068	-0.005270917253796124
EZR	0.049591118052726986	-0.01891949414796089	0.048983051649406244	0.02572365599935313	-0.06861773392397816	-0.03354785937780559
F11R	0.011859964460308188	-0.007894386012204239	0.011916443971114618	0.018611767570687218	-0.007446370346773104	-0.02364407457009331
F3_ENSG00000117525	0.012817782379108847	-0.02101627055469249	0.012878723827267034	0.00798100085424262	-0.016216164534135952	-0.034983213723326315
FAAP20	0.0016795800483966807	0.0028180144254168343	0.0016684724437927572	0.014495096422813427	7.316645597110129e-05	-0.0031430113542965776
FABP4	0.028878554395875642	0.06000758895277674	0.02769217958243965	0.02568883667088237	0.073452070230574	0.04181819084614832
FABP5	0.005309945531140863	0.005278090603699471	0.005337227307860081	0.03515120158006031	-0.006489785704253772	-0.011763721111791463
FAM107B	0.019249938466580567	0.00860700579314142	0.019981172437422742	0.013547723755495155	0.007860823583064037	0.004024500051641335
FAM120A	0.01999369875392968	0.011189112409929609	0.020408587601377502	0.023722500554391346	0.0012142589415434257	-0.0004302729878063052
FAM133B	0.003794347632685612	0.0025466740204421793	0.0037733643831802015	0.016488233275476036	0.0004996780464023491	-0.003039769046598065
FAM13A	0.02062887675417897	-0.012662244746044464	0.020981230676316156	0.009046943012495156	-0.022434296429822136	-0.026480342340248503
FAM162A	0.005983159668049332	0.008306555094132466	0.00623810093935352	0.01827067923811905	-0.002844358927813023	0.002432432695576308
FAM174A	0.002966647812006103	-0.006430103267456152	0.00315279415381899	0.014122691026330337	-0.00282489194814695	-0.02075951736338259
FAM177A1	0.013479054118422524	-0.008538777561980838	0.013708840582083	0.020735513665810938	-0.013953256500128762	-0.02270161876081961
FAM200B	0.005433212565005022	0.003978949985076815	0.005558547826909829	0.013705831881001319	-0.005968678158347925	-0.0015828623348429411
FAM204A	0.012356652865343227	0.0052507267947099106	0.012846215434398489	0.01396412866669415	0.0013553404863357263	0.002148202696874304
FAM216B	0.002426566714056041	-0.011406754307600466	0.002662669570577415	0.006430949454092789	-0.008237597025043153	-0.023195902123661145
FAM229B	0.0009904082482292582	-0.01000093027028939	0.0013394578440531595	0.008264652464063403	-0.009740552412692977	-0.022826745277316207
FAM50A	0.008750169861270267	0.010499814269632509	0.008892874914519655	0.02144377774957192	0.00558513375654118	0.0053633074470197375
FAM89A	0.003633502007431634	0.01685435838206318	0.0035911158376465266	0.016702302383473696	0.007462417669786707	0.016541597358386412
FARP1	0.005860791721593062	-0.005679987152619604	0.005943489425697378	0.01565295875542578	-0.003754477801043138	-0.01819052457487461
