method,displacement
PFlog1pPF,0.0037947955905931405
PFlog1pPF,0.0034601867955521125
PFlog1pPF,0.007734476370156004
PFlog1pPF,0.003518666986033233
PFlog1pPF,0.005159390832258405
PFlog1pPF,0.006993164391259748
PFlog1pPF,0.0039869542767361375
PFlog1pPF,0.004417473638280231
PFlog1pPF,0.004052486743703393
PFlog1pPF,0.005039808155290159
PFlog1pPF,0.00392418343611104
PFlog1pPF,0.004131874285420812
PFlog1pPF,0.0034228843638312106
PFlog1pPF,0.00406988057101529
PFlog1pPF,0.004835707229920934
PFlog1pPF,0.0027476870312549144
PFlog1pPF,0.007699043625642284
PFlog1pPF,0.003070799710327112
PFlog1pPF,0.005669422325924849
PFlog1pPF,0.004062647645129144
PFlog1pPF,0.00475732218237291
PFlog1pPF,0.0043321005557356565
PFlog1pPF,0.00241330855746132
PFlog1pPF,0.0025542602558581867
PFlog1pPF,0.003802404959295066
PFlog1pPF,0.005100075934857563
PFlog1pPF,0.003908438252517144
PFlog1pPF,0.003754890880687261
PFlog1pPF,0.002862494412590858
PFlog1pPF,0.006147040092336192
PFlog1pPF,0.004780769173171378
PFlog1pPF,0.005722429149861104
PFlog1pPF,0.0058143311153060285
PFlog1pPF,0.005132948418906492
PFlog1pPF,0.003648371158477441
PFlog1pPF,0.003111886398604135
PFlog1pPF,0.004825137693967926
PFlog1pPF,0.0021676790148589
PFlog1pPF,0.004077762704978767
PFlog1pPF,0.0051134426192086585
PFlog1pPF,0.004962422059387641
PFlog1pPF,0.0035983172343187673
PFlog1pPF,0.003097239223908044
PFlog1pPF,0.004293595650111455
PFlog1pPF,0.0030719772616565138
PFlog1pPF,0.004505210175023582
PFlog1pPF,0.005262970867237213
PFlog1pPF,0.0027508193873692108
PFlog1pPF,0.0033187516435195866
PFlog1pPF,0.005688410041694777
PFlog1pPF,0.0033814494995026744
PFlog1pPF,0.0063252777015718594
PFlog1pPF,0.005569674293686275
PFlog1pPF,0.005286210593064787
PFlog1pPF,0.002893357418223943
PFlog1pPF,0.0049909556118718675
PFlog1pPF,0.0033965260645296667
PFlog1pPF,0.003924800944692681
PFlog1pPF,0.005351179663313545
PFlog1pPF,0.004637744190358916
PFlog1pPF,0.005320490357647492
PFlog1pPF,0.005201663402905678
PFlog1pPF,0.004154139008573318
PFlog1pPF,0.00531716072240648
PFlog1pPF,0.004777744428913878
PFlog1pPF,0.0038893478261207144
PFlog1pPF,0.004132355557973
